NDB_No,Shrt_Desc,Energ_Kcal,GmWt_1,GmWt_Desc1
19199,PUDDINGS TAPIOCA DRY MIX PREP W/ WHL MILK,115,128,.5 cup
19203,PUDDINGS VANILLA DRY MIX INST PREP W/ WHL MILK,114,142,.5 cup
19314,PIE FILLINGS CND CHERRY,115,74,.125 can
19319,PUDDINGS BANANA DRY MIX INST PREP W/ WHL MILK,115,127,.5 cup
19323,PUDDINGS COCNT CRM DRY MIX INST PREP W/ WHL MILK,117,147,.5 cup
19325,PUDDINGS COCNT CRM DRY MIX REG PREP W/ WHL MILK,114,140,.5 cup
19331,PUDDINGS LEMON DRY MIX INST PREP W/ WHL MILK,115,147,.5 cup
21140,SIDE DISHES POTATO SALAD,114,95,.333 cup
22979,KASHI BLACK BEAN MANGO FRZ UNPREP,115,283,1 entree
23088,BEEF CHUCK MOCK TENDER STEAK BNLESS LN 0 in FAT SEL RAW,117,85,3 oz
23356,BEEF RND TOP RND STEAK BNLESS LN 0 in FAT SEL RAW,116,85,3 oz
23359,BEEF RND TOP RND RST BNLESS LN 0 in FAT SEL RAW,116,85,3 oz
23362,BEEF RND EYE OF RND RST BNLESS LN 0 in FAT SEL RAW,116,85,3 oz
23365,BEEF RND EYE OF RND STEAK BNLESS LN 0 in FAT SEL RAW,116,85,3 oz
23409,BEEF NZ IMP EYE RND LN RAW,116,113,4 oz
23417,BEEF NZ IMP HIND SHIN LN RAW,114,113,4 oz
32023,KASHI MUSHROOM & ASPARAGUS RISOTTO FRZ UNPREP,116,284,.5 package
35013,WHALE BELUGA LIVER RAW (ALASKA NATIVE),117,0, 
35072,SEAL RINGED LIVER (ALASKA NATIVE),116,0, 
35080,DEER (VENISON) SITKA RAW (ALASKA NATIVE),116,0, 
35149,FISH HALIBUT RAW W/ SKN (ALASKA NATIVE),116,0, 
35152,FISH SALMON CHUM RAW (ALASKA NATIVE),116,0, 
35169,FISH SHEEFISH RAW (ALASKA NATIVE),115,0, 
42192,SALAD DRSNG BLUE OR ROQUEFORT CHS DRSNG FAT-FREE,115,17,1 tbsp
43392,HEARTS OF PALM RAW,115,0, 
43450,FROZEN NOVELTIES JUC TYPE JUC W/ CRM,115,71,2.5 oz
